,name,review,category,link
0,더식당,"3,043",주꾸미요리,https://store.naver.com/restaurants/detail?entry=ple&id=37108019&query=%EB%8D%94%EC%8B%9D%EB%8B%B9
1,초밥의 신 부타,"1,820","초밥,롤",https://store.naver.com/restaurants/detail?entry=ple&id=38287317&query=%EC%B4%88%EB%B0%A5%EC%9D%98%20%EC%8B%A0%20%EB%B6%80%ED%83%80
2,아웃백스테이크하우스 천호점,"1,707",패밀리레스토랑,https://store.naver.com/restaurants/detail?entry=ple&id=11621117&query=%EC%95%84%EC%9B%83%EB%B0%B1%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC%ED%95%98%EC%9A%B0%EC%8A%A4%20%EC%B2%9C%ED%98%B8%EC%A0%90
3,사시미 천호점,"1,594",생선회,https://store.naver.com/restaurants/detail?entry=ple&id=1941561921&query=%EC%82%AC%EC%8B%9C%EB%AF%B8%20%EC%B2%9C%ED%98%B8%EC%A0%90
4,안녕식당,963,일식당,https://store.naver.com/restaurants/detail?entry=ple&id=36262813&query=%EC%95%88%EB%85%95%EC%8B%9D%EB%8B%B9
5,펠어커피,810,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1095882850&query=%ED%8E%A0%EC%96%B4%EC%BB%A4%ED%94%BC
6,분홍다이닝,706,카페,https://store.naver.com/restaurants/detail?entry=ple&id=20589057&query=%EB%B6%84%ED%99%8D%EB%8B%A4%EC%9D%B4%EB%8B%9D
7,핵밥 천호점,644,덮밥,https://store.naver.com/restaurants/detail?entry=ple&id=1829531820&query=%ED%95%B5%EB%B0%A5%20%EC%B2%9C%ED%98%B8%EC%A0%90
8,연풍민락,582,요리주점,https://store.naver.com/restaurants/detail?entry=ple&id=1971408303&query=%EC%97%B0%ED%92%8D%EB%AF%BC%EB%9D%BD
9,블랑제리11-17,580,베이커리,https://store.naver.com/restaurants/detail?entry=ple&id=31040447&query=%EB%B8%94%EB%9E%91%EC%A0%9C%EB%A6%AC11-17
10,풀팬,535,이탈리아음식,https://store.naver.com/restaurants/detail?entry=ple&id=34714455&query=%ED%92%80%ED%8C%AC
11,스시야미 천호점,528,생선회,https://store.naver.com/restaurants/detail?entry=ple&id=31896040&query=%EC%8A%A4%EC%8B%9C%EC%95%BC%EB%AF%B8%20%EC%B2%9C%ED%98%B8%EC%A0%90
12,지금보고싶다 천호점,528,요리주점,https://store.naver.com/restaurants/detail?entry=ple&id=1456046632&query=%EC%A7%80%EA%B8%88%EB%B3%B4%EA%B3%A0%EC%8B%B6%EB%8B%A4%20%EC%B2%9C%ED%98%B8%EC%A0%90
13,등갈비달인 본점,528,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=34818249&query=%EB%93%B1%EA%B0%88%EB%B9%84%EB%8B%AC%EC%9D%B8%20%EB%B3%B8%EC%A0%90
14,로니로티 천호점,507,이탈리아음식,https://store.naver.com/restaurants/detail?entry=ple&id=1357932334&query=%EB%A1%9C%EB%8B%88%EB%A1%9C%ED%8B%B0%20%EC%B2%9C%ED%98%B8%EC%A0%90
15,신사소곱창 천호점,447,"곱창,막창,양",https://store.naver.com/restaurants/detail?entry=ple&id=34641081&query=%EC%8B%A0%EC%82%AC%EC%86%8C%EA%B3%B1%EC%B0%BD%20%EC%B2%9C%ED%98%B8%EC%A0%90
16,감동정육식당,405,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=1914574408&query=%EA%B0%90%EB%8F%99%EC%A0%95%EC%9C%A1%EC%8B%9D%EB%8B%B9
17,쭈꾸쭈꾸쭈꾸미,404,주꾸미요리,https://store.naver.com/restaurants/detail?entry=ple&id=35561251&query=%EC%AD%88%EA%BE%B8%EC%AD%88%EA%BE%B8%EC%AD%88%EA%BE%B8%EB%AF%B8
18,경양미식,387,돈가스,https://store.naver.com/restaurants/detail?entry=ple&id=86426909&query=%EA%B2%BD%EC%96%91%EB%AF%B8%EC%8B%9D
19,풍년상회,378,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=37202817&query=%ED%92%8D%EB%85%84%EC%83%81%ED%9A%8C
20,브랜뉴하이몬드,377,베이커리,https://store.naver.com/restaurants/detail?entry=ple&id=19873491&query=%EB%B8%8C%EB%9E%9C%EB%89%B4%ED%95%98%EC%9D%B4%EB%AA%AC%EB%93%9C
21,쭉삼이,368,주꾸미요리,https://store.naver.com/restaurants/detail?entry=ple&id=12797484&query=%EC%AD%89%EC%82%BC%EC%9D%B4
22,왕대포,356,요리주점,https://store.naver.com/restaurants/detail?entry=ple&id=1555510201&query=%EC%99%95%EB%8C%80%ED%8F%AC
23,라그릴리아 천호점,353,이탈리아음식,https://store.naver.com/restaurants/detail?entry=ple&id=1219893333&query=%EB%9D%BC%EA%B7%B8%EB%A6%B4%EB%A6%AC%EC%95%84%20%EC%B2%9C%ED%98%B8%EC%A0%90
24,유타로천호,343,일본식라면,https://store.naver.com/restaurants/detail?entry=ple&id=20058863&query=%EC%9C%A0%ED%83%80%EB%A1%9C%EC%B2%9C%ED%98%B8
25,열불날개천호점,342,닭발,https://store.naver.com/restaurants/detail?entry=ple&id=37997223&query=%EC%97%B4%EB%B6%88%EB%82%A0%EA%B0%9C%EC%B2%9C%ED%98%B8%EC%A0%90
26,오마스시,340,일식당,https://store.naver.com/restaurants/detail?entry=ple&id=35603432&query=%EC%98%A4%EB%A7%88%EC%8A%A4%EC%8B%9C
27,씨푸드박스,336,바닷가재요리,https://store.naver.com/restaurants/detail?entry=ple&id=33211496&query=%EC%94%A8%ED%91%B8%EB%93%9C%EB%B0%95%EC%8A%A4
28,천호쭈꾸미,299,주꾸미요리,https://store.naver.com/restaurants/detail?entry=ple&id=20420865&query=%EC%B2%9C%ED%98%B8%EC%AD%88%EA%BE%B8%EB%AF%B8
29,황금코다리 천호점,292,"해물,생선요리",https://store.naver.com/restaurants/detail?entry=ple&id=1531378270&query=%ED%99%A9%EA%B8%88%EC%BD%94%EB%8B%A4%EB%A6%AC%20%EC%B2%9C%ED%98%B8%EC%A0%90
30,해중천반점,280,중식당,https://store.naver.com/restaurants/detail?entry=ple&id=20356877&query=%ED%95%B4%EC%A4%91%EC%B2%9C%EB%B0%98%EC%A0%90
31,스시쟁이,267,"초밥,롤",https://store.naver.com/restaurants/detail?entry=ple&id=38591668&query=%EC%8A%A4%EC%8B%9C%EC%9F%81%EC%9D%B4
32,다리미삼겹살 천호점,263,돼지고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=37778477&query=%EB%8B%A4%EB%A6%AC%EB%AF%B8%EC%82%BC%EA%B2%B9%EC%82%B4%20%EC%B2%9C%ED%98%B8%EC%A0%90
33,아키노유키천호점,261,이자카야,https://store.naver.com/restaurants/detail?entry=ple&id=33875852&query=%EC%95%84%ED%82%A4%EB%85%B8%EC%9C%A0%ED%82%A4%EC%B2%9C%ED%98%B8%EC%A0%90
34,금마루 식당,260,한식,https://store.naver.com/restaurants/detail?entry=ple&id=13124324&query=%EA%B8%88%EB%A7%88%EB%A3%A8%20%EC%8B%9D%EB%8B%B9
35,푸지미곱창,248,"곱창,막창,양",https://store.naver.com/restaurants/detail?entry=ple&id=36295191&query=%ED%91%B8%EC%A7%80%EB%AF%B8%EA%B3%B1%EC%B0%BD
36,스타시티서울 레스토랑,244,양식,https://store.naver.com/restaurants/detail?entry=ple&id=267802526&query=%EC%8A%A4%ED%83%80%EC%8B%9C%ED%8B%B0%EC%84%9C%EC%9A%B8%20%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91
37,1979 서기치킨,241,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=1777171794&query=1979%20%EC%84%9C%EA%B8%B0%EC%B9%98%ED%82%A8
38,독도쭈꾸미 성내점,237,주꾸미요리,https://store.naver.com/restaurants/detail?entry=ple&id=19882681&query=%EB%8F%85%EB%8F%84%EC%AD%88%EA%BE%B8%EB%AF%B8%20%EC%84%B1%EB%82%B4%EC%A0%90
39,시집그릴하우스,235,돼지고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=36538463&query=%EC%8B%9C%EC%A7%91%EA%B7%B8%EB%A6%B4%ED%95%98%EC%9A%B0%EC%8A%A4
40,독도쭈꾸미1호점,228,한식,https://store.naver.com/restaurants/detail?entry=ple&id=21608379&query=%EB%8F%85%EB%8F%84%EC%AD%88%EA%BE%B8%EB%AF%B81%ED%98%B8%EC%A0%90
41,천사곱창 천호점,225,"곱창,막창,양",https://store.naver.com/restaurants/detail?entry=ple&id=1482195694&query=%EC%B2%9C%EC%82%AC%EA%B3%B1%EC%B0%BD%20%EC%B2%9C%ED%98%B8%EC%A0%90
42,엄마손만두,214,만두,https://store.naver.com/restaurants/detail?entry=ple&id=12048143&query=%EC%97%84%EB%A7%88%EC%86%90%EB%A7%8C%EB%91%90
43,BOON THE BURGER,207,햄버거,https://store.naver.com/restaurants/detail?entry=ple&id=38426041&query=BOON%20THE%20BURGER
44,피콜로,203,이탈리아음식,https://store.naver.com/restaurants/detail?entry=ple&id=1799850216&query=%ED%94%BC%EC%BD%9C%EB%A1%9C
45,카레야상 천호본점,199,카레,https://store.naver.com/restaurants/detail?entry=ple&id=759096594&query=%EC%B9%B4%EB%A0%88%EC%95%BC%EC%83%81%20%EC%B2%9C%ED%98%B8%EB%B3%B8%EC%A0%90
46,블루문,198,요리주점,https://store.naver.com/restaurants/detail?entry=ple&id=1896725135&query=%EB%B8%94%EB%A3%A8%EB%AC%B8
47,명동찌개마을 천호본점,196,"찌개,전골",https://store.naver.com/restaurants/detail?entry=ple&id=32514303&query=%EB%AA%85%EB%8F%99%EC%B0%8C%EA%B0%9C%EB%A7%88%EC%9D%84%20%EC%B2%9C%ED%98%B8%EB%B3%B8%EC%A0%90
48,팬스테이크키친 천호직영,194,"스테이크,립",https://store.naver.com/restaurants/detail?entry=ple&id=1847022594&query=%ED%8C%AC%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC%ED%82%A4%EC%B9%9C%20%EC%B2%9C%ED%98%B8%EC%A7%81%EC%98%81
49,쭈꾸미도사,193,주꾸미요리,https://store.naver.com/restaurants/detail?entry=ple&id=1432081832&query=%EC%AD%88%EA%BE%B8%EB%AF%B8%EB%8F%84%EC%82%AC
50,8번가,187,"맥주,호프",https://store.naver.com/restaurants/detail?entry=ple&id=13159693&query=8%EB%B2%88%EA%B0%80
51,마혼참치,186,일식당,https://store.naver.com/restaurants/detail?entry=ple&id=37203323&query=%EB%A7%88%ED%98%BC%EC%B0%B8%EC%B9%98
52,김여사네 국수,184,국수,https://store.naver.com/restaurants/detail?entry=ple&id=1585630584&query=%EA%B9%80%EC%97%AC%EC%82%AC%EB%84%A4%20%EA%B5%AD%EC%88%98
53,샤브플러스,184,샤브샤브,https://store.naver.com/restaurants/detail?entry=ple&id=81302094&query=%EC%83%A4%EB%B8%8C%ED%94%8C%EB%9F%AC%EC%8A%A4
54,고집 천호점,182,돼지고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=909530218&query=%EA%B3%A0%EC%A7%91%20%EC%B2%9C%ED%98%B8%EC%A0%90
55,갓포하루,177,일식당,https://store.naver.com/restaurants/detail?entry=ple&id=1986337047&query=%EA%B0%93%ED%8F%AC%ED%95%98%EB%A3%A8
56,족발선생,173,"족발,보쌈",https://store.naver.com/restaurants/detail?entry=ple&id=19412997&query=%EC%A1%B1%EB%B0%9C%EC%84%A0%EC%83%9D
57,일미리금계찜닭 천호점,173,찜닭,https://store.naver.com/restaurants/detail?entry=ple&id=811562586&query=%EC%9D%BC%EB%AF%B8%EB%A6%AC%EA%B8%88%EA%B3%84%EC%B0%9C%EB%8B%AD%20%EC%B2%9C%ED%98%B8%EC%A0%90
58,몽땅족발,173,"족발,보쌈",https://store.naver.com/restaurants/detail?entry=ple&id=11859729&query=%EB%AA%BD%EB%95%85%EC%A1%B1%EB%B0%9C
59,깔레본점,172,"해물,생선요리",https://store.naver.com/restaurants/detail?entry=ple&id=20572332&query=%EA%B9%94%EB%A0%88%EB%B3%B8%EC%A0%90
60,장어의인생,171,"장어,먹장어요리",https://store.naver.com/restaurants/detail?entry=ple&id=1895468575&query=%EC%9E%A5%EC%96%B4%EC%9D%98%EC%9D%B8%EC%83%9D
61,강동KD부대찌개나눔터,159,"찌개,전골",https://store.naver.com/restaurants/detail?entry=ple&id=18656891&query=%EA%B0%95%EB%8F%99KD%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%EB%82%98%EB%88%94%ED%84%B0
62,틈새라면 천호점,159,분식,https://store.naver.com/restaurants/detail?entry=ple&id=33996827&query=%ED%8B%88%EC%83%88%EB%9D%BC%EB%A9%B4%20%EC%B2%9C%ED%98%B8%EC%A0%90
63,솔리,158,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1370852236&query=%EC%86%94%EB%A6%AC
64,온도계,138,닭갈비,https://store.naver.com/restaurants/detail?entry=ple&id=38676649&query=%EC%98%A8%EB%8F%84%EA%B3%84
65,곱창중독 천호점,156,"곱창,막창,양",https://store.naver.com/restaurants/detail?entry=ple&id=950733432&query=%EA%B3%B1%EC%B0%BD%EC%A4%91%EB%8F%85%20%EC%B2%9C%ED%98%B8%EC%A0%90
66,데카망,156,일식당,https://store.naver.com/restaurants/detail?entry=ple&id=1237801115&query=%EB%8D%B0%EC%B9%B4%EB%A7%9D
67,모뉴먼트커피,154,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=698440971&query=%EB%AA%A8%EB%89%B4%EB%A8%BC%ED%8A%B8%EC%BB%A4%ED%94%BC
68,영춘똥꼬닭발 천호본점,154,닭발,https://store.naver.com/restaurants/detail?entry=ple&id=20468299&query=%EC%98%81%EC%B6%98%EB%98%A5%EA%BC%AC%EB%8B%AD%EB%B0%9C%20%EC%B2%9C%ED%98%B8%EB%B3%B8%EC%A0%90
69,손문대구막창갈매기살천호점,153,"곱창,막창,양",https://store.naver.com/restaurants/detail?entry=ple&id=13159511&query=%EC%86%90%EB%AC%B8%EB%8C%80%EA%B5%AC%EB%A7%89%EC%B0%BD%EA%B0%88%EB%A7%A4%EA%B8%B0%EC%82%B4%EC%B2%9C%ED%98%B8%EC%A0%90
70,피맥컴퍼니 천호역점,146,"맥주,호프",https://store.naver.com/restaurants/detail?entry=ple&id=1251161830&query=%ED%94%BC%EB%A7%A5%EC%BB%B4%ED%8D%BC%EB%8B%88%20%EC%B2%9C%ED%98%B8%EC%97%AD%EC%A0%90
71,통큰쭈꾸미,143,주꾸미요리,https://store.naver.com/restaurants/detail?entry=ple&id=20724901&query=%ED%86%B5%ED%81%B0%EC%AD%88%EA%BE%B8%EB%AF%B8
72,와고참숯갈비,141,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=1874822920&query=%EC%99%80%EA%B3%A0%EC%B0%B8%EC%88%AF%EA%B0%88%EB%B9%84
73,KFC 천호역,140,햄버거,https://store.naver.com/restaurants/detail?entry=ple&id=31454056&query=KFC%20%EC%B2%9C%ED%98%B8%EC%97%AD
74,샤카바,139,요리주점,https://store.naver.com/restaurants/detail?entry=ple&id=631789149&query=%EC%83%A4%EC%B9%B4%EB%B0%94
75,대가돈가츠,139,돈가스,https://store.naver.com/restaurants/detail?entry=ple&id=38274000&query=%EB%8C%80%EA%B0%80%EB%8F%88%EA%B0%80%EC%B8%A0
76,송월냉면,139,한식,https://store.naver.com/restaurants/detail?entry=ple&id=33928362&query=%EC%86%A1%EC%9B%94%EB%83%89%EB%A9%B4
77,오징어나라 천호점,133,오징어요리,https://store.naver.com/restaurants/detail?entry=ple&id=21857448&query=%EC%98%A4%EC%A7%95%EC%96%B4%EB%82%98%EB%9D%BC%20%EC%B2%9C%ED%98%B8%EC%A0%90
78,두끼 천호로데오점,133,분식,https://store.naver.com/restaurants/detail?entry=ple&id=37183219&query=%EB%91%90%EB%81%BC%20%EC%B2%9C%ED%98%B8%EB%A1%9C%EB%8D%B0%EC%98%A4%EC%A0%90
79,키읔피읖,128,카페,https://store.naver.com/restaurants/detail?entry=ple&id=1205993220&query=%ED%82%A4%EC%9D%94%ED%94%BC%EC%9D%96
80,돈사돈 강동직영점,127,돼지고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=1977349065&query=%EB%8F%88%EC%82%AC%EB%8F%88%20%EA%B0%95%EB%8F%99%EC%A7%81%EC%98%81%EC%A0%90
81,마마된장 천호역점,127,한식,https://store.naver.com/restaurants/detail?entry=ple&id=1345813351&query=%EB%A7%88%EB%A7%88%EB%90%9C%EC%9E%A5%20%EC%B2%9C%ED%98%B8%EC%97%AD%EC%A0%90
82,천호977,125,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1205692707&query=%EC%B2%9C%ED%98%B8977
83,신소녀의 낙지세상,125,낙지요리,https://store.naver.com/restaurants/detail?entry=ple&id=31353225&query=%EC%8B%A0%EC%86%8C%EB%85%80%EC%9D%98%20%EB%82%99%EC%A7%80%EC%84%B8%EC%83%81
84,계화기식당 천호점,124,닭요리,https://store.naver.com/restaurants/detail?entry=ple&id=1887182590&query=%EA%B3%84%ED%99%94%EA%B8%B0%EC%8B%9D%EB%8B%B9%20%EC%B2%9C%ED%98%B8%EC%A0%90
85,스타벅스 천호로데오점,124,카페,https://store.naver.com/restaurants/detail?entry=ple&id=36995372&query=%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%20%EC%B2%9C%ED%98%B8%EB%A1%9C%EB%8D%B0%EC%98%A4%EC%A0%90
86,진성한우곱창,123,"곱창,막창,양",https://store.naver.com/restaurants/detail?entry=ple&id=37411649&query=%EC%A7%84%EC%84%B1%ED%95%9C%EC%9A%B0%EA%B3%B1%EC%B0%BD
87,쿠우쿠우 천호점,121,"일식,초밥뷔페",https://store.naver.com/restaurants/detail?entry=ple&id=37069750&query=%EC%BF%A0%EC%9A%B0%EC%BF%A0%EC%9A%B0%20%EC%B2%9C%ED%98%B8%EC%A0%90
88,오가네,120,소고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=19416445&query=%EC%98%A4%EA%B0%80%EB%84%A4
89,마포집,118,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=31025837&query=%EB%A7%88%ED%8F%AC%EC%A7%91
90,신촌황소곱창,117,한식,https://store.naver.com/restaurants/detail?entry=ple&id=36878640&query=%EC%8B%A0%EC%B4%8C%ED%99%A9%EC%86%8C%EA%B3%B1%EC%B0%BD
91,카페노란코끼리,117,카페,https://store.naver.com/restaurants/detail?entry=ple&id=1190908232&query=%EC%B9%B4%ED%8E%98%EB%85%B8%EB%9E%80%EC%BD%94%EB%81%BC%EB%A6%AC
92,미니회바,115,일식당,https://store.naver.com/restaurants/detail?entry=ple&id=19371778&query=%EB%AF%B8%EB%8B%88%ED%9A%8C%EB%B0%94
93,옹끌카페,110,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=195636140&query=%EC%98%B9%EB%81%8C%EC%B9%B4%ED%8E%98
94,천호양꼬치 본점,110,양꼬치,https://store.naver.com/restaurants/detail?entry=ple&id=36200276&query=%EC%B2%9C%ED%98%B8%EC%96%91%EA%BC%AC%EC%B9%98%20%EB%B3%B8%EC%A0%90
95,아이노스 천호점,109,이탈리아음식,https://store.naver.com/restaurants/detail?entry=ple&id=1948456587&query=%EC%95%84%EC%9D%B4%EB%85%B8%EC%8A%A4%20%EC%B2%9C%ED%98%B8%EC%A0%90
96,교촌치킨 천호1호점,109,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=11802617&query=%EA%B5%90%EC%B4%8C%EC%B9%98%ED%82%A8%20%EC%B2%9C%ED%98%B81%ED%98%B8%EC%A0%90
97,어판장씨푸드,107,대게요리,https://store.naver.com/restaurants/detail?entry=ple&id=1742615898&query=%EC%96%B4%ED%8C%90%EC%9E%A5%EC%94%A8%ED%91%B8%EB%93%9C
98,잇츠,105,양식,https://store.naver.com/restaurants/detail?entry=ple&id=1237548521&query=%EC%9E%87%EC%B8%A0
99,유가네닭갈비 천호점,105,닭갈비,https://store.naver.com/restaurants/detail?entry=ple&id=11781221&query=%EC%9C%A0%EA%B0%80%EB%84%A4%EB%8B%AD%EA%B0%88%EB%B9%84%20%EC%B2%9C%ED%98%B8%EC%A0%90
100,천호누룽지통닭구이,105,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=38654169&query=%EC%B2%9C%ED%98%B8%EB%88%84%EB%A3%BD%EC%A7%80%ED%86%B5%EB%8B%AD%EA%B5%AC%EC%9D%B4
101,버거킹 천호역점,103,햄버거,https://store.naver.com/restaurants/detail?entry=ple&id=31011967&query=%EB%B2%84%EA%B1%B0%ED%82%B9%20%EC%B2%9C%ED%98%B8%EC%97%AD%EC%A0%90
